position,title,year,duration,age_rating,imdb_rating,votes,metascore,plot,href,cover,cover_alt
6018, Babar Naam Gandhiji,No Year,No Duration,No Age Rating,"6,9", (148),No Metascore,"Babar Naam Gandhiji is about Mahatma Gandhi and modern society through the eyes of street child. The film is based around a boy named Kencho, who has an encounter with the Father of the Nation through a currency note with Gandhiji's photo on it. The curious boy is adopted by an NGO and is taught the ideals of Gandhiji.",https://www.imdb.com//title/tt4955826/?ref_=sr_t_6018,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BOGQ0ODk0MzgtZTUyNy00YmYzLTg3M2EtNzhlNjg2NjBmYjc0XkEyXkFqcGc@._V1_QL75_UY207_CR3,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BOGQ0ODk0MzgtZTUyNy00YmYzLTg3M2EtNzhlNjg2NjBmYjc0XkEyXkFqcGc@._V1_QL75_UY207_CR3,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BOGQ0ODk0MzgtZTUyNy00YmYzLTg3M2EtNzhlNjg2NjBmYjc0XkEyXkFqcGc@._V1_QL75_UY311_CR4,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BOGQ0ODk0MzgtZTUyNy00YmYzLTg3M2EtNzhlNjg2NjBmYjc0XkEyXkFqcGc@._V1_QL75_UY414_CR6,0,280,414_.jpg 280w"
6019, Superstar Kidnap,No Year,No Duration,No Age Rating,"6,9", (651),No Metascore,Three youngsters meet accidentally in a drug deal plan to kidnap superstar maheshbabu to come out of their financial and personal crisis.,https://www.imdb.com//title/tt4869678/?ref_=sr_t_6019,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BNGVjM2U1NTItNjQ5Ny00NjJkLWI0MTAtYTJlYzhjZTQ3YjMyXkEyXkFqcGc@._V1_QL75_UY207_CR34,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BNGVjM2U1NTItNjQ5Ny00NjJkLWI0MTAtYTJlYzhjZTQ3YjMyXkEyXkFqcGc@._V1_QL75_UY207_CR34,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BNGVjM2U1NTItNjQ5Ny00NjJkLWI0MTAtYTJlYzhjZTQ3YjMyXkEyXkFqcGc@._V1_QL75_UY311_CR50,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BNGVjM2U1NTItNjQ5Ny00NjJkLWI0MTAtYTJlYzhjZTQ3YjMyXkEyXkFqcGc@._V1_QL75_UY414_CR67,0,280,414_.jpg 280w"
6020, Mapa,No Year,No Duration,No Age Rating,"6,9", (251),No Metascore,"This is the story of a young Spanish director burned out by his job on TV, who went to India in search of his first feature film only to discover that the real search was not for him in India but back home. However, upon return in Madrid, everything went the opposite as he expected...",https://www.imdb.com//title/tt2494396/?ref_=sr_t_6020,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BODM2NzFiZjItMjA5NC00MjgxLWI0MjYtOGE2MTQzOWVmOWY2XkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BODM2NzFiZjItMjA5NC00MjgxLWI0MjYtOGE2MTQzOWVmOWY2XkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BODM2NzFiZjItMjA5NC00MjgxLWI0MjYtOGE2MTQzOWVmOWY2XkEyXkFqcGc@._V1_QL75_UX210_CR0,2,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BODM2NzFiZjItMjA5NC00MjgxLWI0MjYtOGE2MTQzOWVmOWY2XkEyXkFqcGc@._V1_QL75_UX280_CR0,3,280,414_.jpg 280w"
6021, Sattam Oru Vilayattu,No Year,No Duration,No Age Rating,"6,9", (135),No Metascore,A man avenges the murder of his mother and brother by killing the murderer's three sons.,https://www.imdb.com//title/tt1385973/?ref_=sr_t_6021,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BZWYwM2EzY2MtOGVkOC00N2QwLTk0MjAtYjc0ZDNjZjI1NzA0XkEyXkFqcGc@._V1_QL75_UY207_CR7,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BZWYwM2EzY2MtOGVkOC00N2QwLTk0MjAtYjc0ZDNjZjI1NzA0XkEyXkFqcGc@._V1_QL75_UY207_CR7,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BZWYwM2EzY2MtOGVkOC00N2QwLTk0MjAtYjc0ZDNjZjI1NzA0XkEyXkFqcGc@._V1_QL75_UY311_CR10,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BZWYwM2EzY2MtOGVkOC00N2QwLTk0MjAtYjc0ZDNjZjI1NzA0XkEyXkFqcGc@._V1_QL75_UY414_CR13,0,280,414_.jpg 280w"
6022, Daayen Ya Baayen,No Year,No Duration,No Age Rating,"6,9", (176),No Metascore,An impoverished village school-teacher's problems mount after winning a car.,https://www.imdb.com//title/tt1668078/?ref_=sr_t_6022,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BOGU2NTllYzItYmNkYi00MGVkLWE0YjItNmVhMTQ0OWI0NzM3XkEyXkFqcGc@._V1_QL75_UY207_CR3,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BOGU2NTllYzItYmNkYi00MGVkLWE0YjItNmVhMTQ0OWI0NzM3XkEyXkFqcGc@._V1_QL75_UY207_CR3,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BOGU2NTllYzItYmNkYi00MGVkLWE0YjItNmVhMTQ0OWI0NzM3XkEyXkFqcGc@._V1_QL75_UY311_CR4,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BOGU2NTllYzItYmNkYi00MGVkLWE0YjItNmVhMTQ0OWI0NzM3XkEyXkFqcGc@._V1_QL75_UY414_CR5,0,280,414_.jpg 280w"
6023, Randam Bhavam,No Year,No Duration,No Age Rating,"6,9", (209),No Metascore,"The life of a ruthless gangster turns upside down when his twin brother, a college professor, is killed in a shootout. He is soon forced to take his brother's place his family he abandoned a long time ago.",https://www.imdb.com//title/tt0277984/?ref_=sr_t_6023,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BYzJjZDI5YzAtOWNjNi00MTM3LWI4ZmUtMWYyNmExYTAwYzE5XkEyXkFqcGc@._V1_QL75_UY207_CR1,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BYzJjZDI5YzAtOWNjNi00MTM3LWI4ZmUtMWYyNmExYTAwYzE5XkEyXkFqcGc@._V1_QL75_UY207_CR1,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BYzJjZDI5YzAtOWNjNi00MTM3LWI4ZmUtMWYyNmExYTAwYzE5XkEyXkFqcGc@._V1_QL75_UY311_CR1,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BYzJjZDI5YzAtOWNjNi00MTM3LWI4ZmUtMWYyNmExYTAwYzE5XkEyXkFqcGc@._V1_QL75_UY414_CR2,0,280,414_.jpg 280w"
6024, Vinodam,No Year,No Duration,No Age Rating,"6,9", (116),No Metascore,"Ashta Lakshmi (Ravali) is the only daughter of Bangaram (Kota Srinivasa Rao), a wealthy miser. She meets four friends who live carefree lives, living in a rented house owned by Chintamani (Tanikella Bharani) and falls in love with one of them, Raja (Srikanth). Vinodam shows the hilarious ways Raja tries to convince Bangaram with the help of his friends to agree to his wedding with Ashta Lakshmi.",https://www.imdb.com//title/tt1579904/?ref_=sr_t_6024,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BOGU5ZDJlY2UtZTQ4Ni00MjVhLWJmZDctMjAwNjVhMGRjYWUwXkEyXkFqcGc@._V1_QL75_UY207_CR8,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BOGU5ZDJlY2UtZTQ4Ni00MjVhLWJmZDctMjAwNjVhMGRjYWUwXkEyXkFqcGc@._V1_QL75_UY207_CR8,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BOGU5ZDJlY2UtZTQ4Ni00MjVhLWJmZDctMjAwNjVhMGRjYWUwXkEyXkFqcGc@._V1_QL75_UY311_CR11,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BOGU5ZDJlY2UtZTQ4Ni00MjVhLWJmZDctMjAwNjVhMGRjYWUwXkEyXkFqcGc@._V1_QL75_UY414_CR16,0,280,414_.jpg 280w"
6025, Gorosthane Sabdhan,No Year,No Duration,No Age Rating,"6,9", (715),No Metascore,"A sudden violent storm takes Kolkata by sutprise. It also Narendra Nath Biswas injured, hit by a falling tree in the Park Street Cemetery. ... or was it the work of some unknown assailant? Feluda investigates and soon encounters enough questions to puzzle his matchless intellect. In his search for answers, Feluda digs up a fascinating history of the Godwin family going back to the 19th century Lucknow.",https://www.imdb.com//title/tt2136956/?ref_=sr_t_6025,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BNjM2OWM5MDUtZTI2YS00YzcxLTkwMDUtYjMxYTE0NGJjNzYyXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BNjM2OWM5MDUtZTI2YS00YzcxLTkwMDUtYjMxYTE0NGJjNzYyXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BNjM2OWM5MDUtZTI2YS00YzcxLTkwMDUtYjMxYTE0NGJjNzYyXkEyXkFqcGc@._V1_QL75_UX210_CR0,2,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BNjM2OWM5MDUtZTI2YS00YzcxLTkwMDUtYjMxYTE0NGJjNzYyXkEyXkFqcGc@._V1_QL75_UX280_CR0,3,280,414_.jpg 280w"
6026, Gaadi Tera Bhai Chalayega by Nishant Tanwar,No Year,No Duration,No Age Rating,"6,9", (115),No Metascore,"Nishant Tanwar is back again after the success of his previous special ""Dilli se hun B***D"", available exclusively on Amazon Prime Video, He has been gathering new experiences, new perspectives and revisiting past memories to present yet another tangy, bone tickling and brand new stand up special with a pinch of India. Swaad Anusaar. This time he talks about his dreams, aspirations, hopes, and struggles. Join us as Nishant takes us through his journey from being an underdog to becoming one of India's most beloved stand-up comedians. So hop on and wear your seat belt because ""Gaadi Tera Bhai Chalayega"".",https://www.imdb.com//title/tt11167914/?ref_=sr_t_6026,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BMTI1ZjYyNWQtNDdmOC00NDJiLTlmZWYtOThlMTYzMWM1Y2UxXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BMTI1ZjYyNWQtNDdmOC00NDJiLTlmZWYtOThlMTYzMWM1Y2UxXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BMTI1ZjYyNWQtNDdmOC00NDJiLTlmZWYtOThlMTYzMWM1Y2UxXkEyXkFqcGc@._V1_QL75_UX210_CR0,2,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BMTI1ZjYyNWQtNDdmOC00NDJiLTlmZWYtOThlMTYzMWM1Y2UxXkEyXkFqcGc@._V1_QL75_UX280_CR0,3,280,414_.jpg 280w"
6027, Yuvakudu,No Year,No Duration,No Age Rating,"6,9", (135),No Metascore,"Siva falls for Sindhu who initially dislikes him. His mother however brings them together, but an unexpected turn of events could tear them all apart",https://www.imdb.com//title/tt0464849/?ref_=sr_t_6027,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BNWJkOWRlYmEtYjBiYi00MmIwLTkwZmYtZDljM2JlMjhmODNlXkEyXkFqcGc@._V1_QL75_UY207_CR34,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BNWJkOWRlYmEtYjBiYi00MmIwLTkwZmYtZDljM2JlMjhmODNlXkEyXkFqcGc@._V1_QL75_UY207_CR34,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BNWJkOWRlYmEtYjBiYi00MmIwLTkwZmYtZDljM2JlMjhmODNlXkEyXkFqcGc@._V1_QL75_UY311_CR50,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BNWJkOWRlYmEtYjBiYi00MmIwLTkwZmYtZDljM2JlMjhmODNlXkEyXkFqcGc@._V1_QL75_UY414_CR67,0,280,414_.jpg 280w"
6028, Rupkatha Noy,No Year,No Duration,No Age Rating,"6,9", (200),No Metascore,"Five young people are driven by primal human instincts - to escape, find thrill, seek revenge or wait for destiny. And one old wizened man is trying to touch upon their minds.",https://www.imdb.com//title/tt2848560/?ref_=sr_t_6028,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BZDQ2YjU3NTItYzZkZS00OWNhLThlZWUtZjBjNjBmNzEyYjI0XkEyXkFqcGc@._V1_QL75_UX140_CR0,4,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BZDQ2YjU3NTItYzZkZS00OWNhLThlZWUtZjBjNjBmNzEyYjI0XkEyXkFqcGc@._V1_QL75_UX140_CR0,4,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BZDQ2YjU3NTItYzZkZS00OWNhLThlZWUtZjBjNjBmNzEyYjI0XkEyXkFqcGc@._V1_QL75_UX210_CR0,6,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BZDQ2YjU3NTItYzZkZS00OWNhLThlZWUtZjBjNjBmNzEyYjI0XkEyXkFqcGc@._V1_QL75_UX280_CR0,7,280,414_.jpg 280w"
6029, Dharam Yudh Morcha,No Year,No Duration,No Age Rating,"6,9", (103),No Metascore,"During a family visit, a devout man tells his grandson about significant events from the history of Sikhs in India.",https://www.imdb.com//title/tt5951704/?ref_=sr_t_6029,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BY2I4MjcwYTQtODU0ZC00NzVlLWExMGMtZGZkYzBlNTQ3ZDE5XkEyXkFqcGc@._V1_QL75_UY207_CR4,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BY2I4MjcwYTQtODU0ZC00NzVlLWExMGMtZGZkYzBlNTQ3ZDE5XkEyXkFqcGc@._V1_QL75_UY207_CR4,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BY2I4MjcwYTQtODU0ZC00NzVlLWExMGMtZGZkYzBlNTQ3ZDE5XkEyXkFqcGc@._V1_QL75_UY311_CR6,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BY2I4MjcwYTQtODU0ZC00NzVlLWExMGMtZGZkYzBlNTQ3ZDE5XkEyXkFqcGc@._V1_QL75_UY414_CR8,0,280,414_.jpg 280w"
6030, Cheluvina Chittara,No Year,No Duration,No Age Rating,"6,9", (109),No Metascore,"A young schoolgirl, Aishwarya, from a rich local don family falls in love and elopes with a small-time mechanic, Maadesha.",https://www.imdb.com//title/tt3171702/?ref_=sr_t_6030,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BZTUyNjQwNGQtNjUxOC00MmU2LWIzNmQtYTgyNjU1MDEzYjdmXkEyXkFqcGc@._V1_QL75_UY207_CR16,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BZTUyNjQwNGQtNjUxOC00MmU2LWIzNmQtYTgyNjU1MDEzYjdmXkEyXkFqcGc@._V1_QL75_UY207_CR16,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BZTUyNjQwNGQtNjUxOC00MmU2LWIzNmQtYTgyNjU1MDEzYjdmXkEyXkFqcGc@._V1_QL75_UY311_CR23,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BZTUyNjQwNGQtNjUxOC00MmU2LWIzNmQtYTgyNjU1MDEzYjdmXkEyXkFqcGc@._V1_QL75_UY414_CR31,0,280,414_.jpg 280w"
6031, Tiki Taka,No Year,No Duration,No Age Rating,"6,9", (3 mil),No Metascore,"Revolves around Khelechi, an African national, who comes to India with a football laden with narcotics to deliver it to P.K, who runs a drug cartel. However, in a comedy of errors P.K's men pick up the wrong guy, and Khelechi ends up with Raju, a con man.",https://www.imdb.com//title/tt12986942/?ref_=sr_t_6031,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BMzdiZmFmMjMtNzg0Mi00ZGM4LTk1NzgtYjhlZWE1NmM4ZGY4XkEyXkFqcGc@._V1_QL75_UY207_CR34,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BMzdiZmFmMjMtNzg0Mi00ZGM4LTk1NzgtYjhlZWE1NmM4ZGY4XkEyXkFqcGc@._V1_QL75_UY207_CR34,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BMzdiZmFmMjMtNzg0Mi00ZGM4LTk1NzgtYjhlZWE1NmM4ZGY4XkEyXkFqcGc@._V1_QL75_UY311_CR50,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BMzdiZmFmMjMtNzg0Mi00ZGM4LTk1NzgtYjhlZWE1NmM4ZGY4XkEyXkFqcGc@._V1_QL75_UY414_CR67,0,280,414_.jpg 280w"
6032, Kanathaya Penkutty,No Year,No Duration,No Age Rating,"6,9", (147),No Metascore,"When a school girl goes missing and later found dead on the train tracks, rural SP Basheer and his team initiates an investigation where everyone is either a suspect or a witness.",https://www.imdb.com//title/tt0271589/?ref_=sr_t_6032,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BMmFhNzQ1MzMtZjFlNC00MmVjLTkwM2ItNTRmYWVlODUyMzRiXkEyXkFqcGc@._V1_QL75_UY207_CR35,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BMmFhNzQ1MzMtZjFlNC00MmVjLTkwM2ItNTRmYWVlODUyMzRiXkEyXkFqcGc@._V1_QL75_UY207_CR35,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BMmFhNzQ1MzMtZjFlNC00MmVjLTkwM2ItNTRmYWVlODUyMzRiXkEyXkFqcGc@._V1_QL75_UY311_CR52,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BMmFhNzQ1MzMtZjFlNC00MmVjLTkwM2ItNTRmYWVlODUyMzRiXkEyXkFqcGc@._V1_QL75_UY414_CR70,0,280,414_.jpg 280w"
6033, Vasanthiyum Lakshmiyum Pinne Njaanum,No Year,No Duration,No Age Rating,"6,9", (187),No Metascore,"Watch the full movie, Vasanthiyum Lakshmiyum Pinne Njaanum, only on Eros Now. Vakkil Vasudev is a 1999 Indian Malayalam film, directed by Vinayan and produced by Kabeer, Latheef, Vindhyan. The film stars Kalabhavan Mani, Kaveri, Praveena and Saikumar in lead roles. The film had musical score by Mohan Sithara.",https://www.imdb.com//title/tt0255671/?ref_=sr_t_6033,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BOGRkYWM0MmMtZTI2OC00NDdmLWE2ZGQtMzY5ZTM4YzJkMzEwXkEyXkFqcGc@._V1_QL75_UY207_CR12,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BOGRkYWM0MmMtZTI2OC00NDdmLWE2ZGQtMzY5ZTM4YzJkMzEwXkEyXkFqcGc@._V1_QL75_UY207_CR12,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BOGRkYWM0MmMtZTI2OC00NDdmLWE2ZGQtMzY5ZTM4YzJkMzEwXkEyXkFqcGc@._V1_QL75_UY311_CR17,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BOGRkYWM0MmMtZTI2OC00NDdmLWE2ZGQtMzY5ZTM4YzJkMzEwXkEyXkFqcGc@._V1_QL75_UY414_CR23,0,280,414_.jpg 280w"
6034, Chemistry of Kariyappa,No Year,No Duration,No Age Rating,"6,9", (327),No Metascore,"A 32-year old man's father helps him out with his ""Smart Life Equations"".",https://www.imdb.com//title/tt9738388/?ref_=sr_t_6034,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BYjNkM2Y3ZWItNmVlMS00MzRjLTg3ZGEtMTExZDUxZTA0ZGNlXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BYjNkM2Y3ZWItNmVlMS00MzRjLTg3ZGEtMTExZDUxZTA0ZGNlXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BYjNkM2Y3ZWItNmVlMS00MzRjLTg3ZGEtMTExZDUxZTA0ZGNlXkEyXkFqcGc@._V1_QL75_UX210_CR0,1,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BYjNkM2Y3ZWItNmVlMS00MzRjLTg3ZGEtMTExZDUxZTA0ZGNlXkEyXkFqcGc@._V1_QL75_UX280_CR0,1,280,414_.jpg 280w"
6035, Maya Darpan,No Year,No Duration,No Age Rating,"6,9", (103),No Metascore,"Taran, the daughter of a wealthy landlord, finds herself on the horns of a dilemma when she has to choose between being with her lover and protecting her father's public image.",https://www.imdb.com//title/tt0068929/?ref_=sr_t_6035,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BZjllNjY2NzctNWM0ZS00YWM2LTkwYmMtOTBhMGI0NmM4ZWRkXkEyXkFqcGc@._V1_QL75_UX140_CR0,2,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BZjllNjY2NzctNWM0ZS00YWM2LTkwYmMtOTBhMGI0NmM4ZWRkXkEyXkFqcGc@._V1_QL75_UX140_CR0,2,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BZjllNjY2NzctNWM0ZS00YWM2LTkwYmMtOTBhMGI0NmM4ZWRkXkEyXkFqcGc@._V1_QL75_UX210_CR0,4,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BZjllNjY2NzctNWM0ZS00YWM2LTkwYmMtOTBhMGI0NmM4ZWRkXkEyXkFqcGc@._V1_QL75_UX280_CR0,5,280,414_.jpg 280w"
6036, January Oru Orma,No Year,No Duration,No Age Rating,"6,9", (137),No Metascore,"Raju, a tour guide who works at Kodaikanal comes across Nimmi, a young girl and falls in love with her. However, he soon starts uncovering secrets about his own birth and parents.",https://www.imdb.com//title/tt0282629/?ref_=sr_t_6036,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BM2U3MmFmZTAtYjAzMS00MDJmLTkzZDEtMzIwMjdmYjI2ZWE1XkEyXkFqcGc@._V1_QL75_UY207_CR3,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BM2U3MmFmZTAtYjAzMS00MDJmLTkzZDEtMzIwMjdmYjI2ZWE1XkEyXkFqcGc@._V1_QL75_UY207_CR3,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BM2U3MmFmZTAtYjAzMS00MDJmLTkzZDEtMzIwMjdmYjI2ZWE1XkEyXkFqcGc@._V1_QL75_UY311_CR4,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BM2U3MmFmZTAtYjAzMS00MDJmLTkzZDEtMzIwMjdmYjI2ZWE1XkEyXkFqcGc@._V1_QL75_UY414_CR6,0,280,414_.jpg 280w"
6037, Inspector Balram,No Year,No Duration,No Age Rating,"6,9", (421),No Metascore,"Inspector Balram is wrongly suspended and jailed when he sincerely fights against the atrocities of influential dons. After the mafia kills his wife, he takes the law into his hands.",https://www.imdb.com//title/tt0244549/?ref_=sr_t_6037,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BZmFiODNlYWItYWI4Ny00MzE5LWIzZjYtYmY4OGQxMDYzZGM2XkEyXkFqcGc@._V1_QL75_UY207_CR3,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BZmFiODNlYWItYWI4Ny00MzE5LWIzZjYtYmY4OGQxMDYzZGM2XkEyXkFqcGc@._V1_QL75_UY207_CR3,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BZmFiODNlYWItYWI4Ny00MzE5LWIzZjYtYmY4OGQxMDYzZGM2XkEyXkFqcGc@._V1_QL75_UY311_CR4,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BZmFiODNlYWItYWI4Ny00MzE5LWIzZjYtYmY4OGQxMDYzZGM2XkEyXkFqcGc@._V1_QL75_UY414_CR6,0,280,414_.jpg 280w"
6038, Sunset Bollywood,No Year,No Duration,No Age Rating,"6,9", (682),No Metascore,"Anita Kapoor narrates the rise and subsequent fall of three Bollywood one-time mega-stars. Rahul Roy, who came from a non-filmy background, instantly shot into fame with Mahesh Bhatt's 'Aashiqui' and went on to sign 47 movies; Bhagyashree, also from a non-filmy background, who shot into fame with Amol Palekar's TV serial 'Kachi Dhoop', and then again on the silver screen with 'Maine Pyar Kiya' opposite Salman Khan, gave up acting, married childhood sweetheart, Himalay Dassani, and then made a failed comeback with her hubby as a co-star; And finally, Kumar Gaurav, the son of veteran actor, Rajendra Kumar, who also shot into fame with 'Love Story' opposite Vijeta Pandit, was typecast as a romantic leading man, and his subsequent attempts to make it to the top.",https://www.imdb.com//title/tt1475415/?ref_=sr_t_6038,No Cover,No rcset Text
6039, Arayannangalude Veedu,No Year,No Duration,No Age Rating,"6,9", (263),No Metascore,"Teenage boy Ravindranath leaves his house after a quarrel. Eighteen years later, circumstances make him return home, but he finds that matters are not like what he had expected.",https://www.imdb.com//title/tt0273090/?ref_=sr_t_6039,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BMWUwN2NhMzMtOTc3ZC00MzI5LTg3NGYtMDM1M2U1YTc4MGExXkEyXkFqcGc@._V1_QL75_UY207_CR6,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BMWUwN2NhMzMtOTc3ZC00MzI5LTg3NGYtMDM1M2U1YTc4MGExXkEyXkFqcGc@._V1_QL75_UY207_CR6,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BMWUwN2NhMzMtOTc3ZC00MzI5LTg3NGYtMDM1M2U1YTc4MGExXkEyXkFqcGc@._V1_QL75_UY311_CR9,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BMWUwN2NhMzMtOTc3ZC00MzI5LTg3NGYtMDM1M2U1YTc4MGExXkEyXkFqcGc@._V1_QL75_UY414_CR12,0,280,414_.jpg 280w"
6040, Chor Bani Thangaat Kare,No Year,No Duration,No Age Rating,"6,9", (111),No Metascore,A kleptomaniac Rajkumar ends up stealing the wrong thing. Lot of people chase him to get the stolen thing.,https://www.imdb.com//title/tt7117376/?ref_=sr_t_6040,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BNTQ1MmYzMDEtODNkNS00ZDRiLTk5ODMtNmVlZWJiMGI4MzJkXkEyXkFqcGc@._V1_QL75_UY207_CR8,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BNTQ1MmYzMDEtODNkNS00ZDRiLTk5ODMtNmVlZWJiMGI4MzJkXkEyXkFqcGc@._V1_QL75_UY207_CR8,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BNTQ1MmYzMDEtODNkNS00ZDRiLTk5ODMtNmVlZWJiMGI4MzJkXkEyXkFqcGc@._V1_QL75_UY311_CR11,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BNTQ1MmYzMDEtODNkNS00ZDRiLTk5ODMtNmVlZWJiMGI4MzJkXkEyXkFqcGc@._V1_QL75_UY414_CR16,0,280,414_.jpg 280w"
